Company,Ticker,Index,N,WIN %,Notes
UnitedHealth Group Inc.,UNH,DOW 30,24,37.5,
United Technologies Corporation,UTX,DOW 30,24,41.7,
Visa Inc.,V,DOW 30,24,58.3,
Viacom Inc.,VIAB,NASDAQ 100,24,58.3,
VimpelCom Ltd.,VEON,NASDAQ 100,20,30,VIP is now VEON
Virgin Media,VMED,NASDAQ 100,NAN,NAN,VMED now TLWT?
Vodafone Group plc,VOD,NASDAQ 100,NAN,NAN,No data
Verisk Analytics,VRSK,NASDAQ 100,24,58.3,
Vertex Pharmaceuticals,VRTX,NASDAQ 100,24,29.2,
Verizon Communications Inc.,VZ,DOW 30,24,29.2,
Walgreens Boots Alliance,WBA,NASDAQ 100,23,39.1,
"Workday, Inc.",WDAY,NASDAQ 100,21,28.6,
Western Digital,WDC,NASDAQ 100,24,54.2,
"Whole Foods Market, Inc.",WFM,NASDAQ 100,NAN,NAN,
"Wal-Mart Stores, Inc.",WMT,DOW 30,24,45.8,
Wynn Resorts Ltd.,WYNN,NASDAQ 100,24,75,
"Xilinx, Inc.",XLNX,NASDAQ 100,24,45.8,
Exxon Mobil Corporation,XOM,DOW 30,24,45.8,
DENTSPLY International Inc.,XRAY,NASDAQ 100,24,45.8,
Yahoo! Inc.,YHOO,NASDAQ 100,22,45.5,Now AABA
