Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,4787.930176,4804.419922,4784.629883,4791.089844,4791.089844,1416640000
2016-08-30,4787.770020,4797.620117,4760.279785,4775.990234,4775.990234,1561020000
2016-08-31,4770.229980,4775.189941,4751.689941,4771.049805,4771.049805,1761770000
2016-09-01,4774.810059,4787.939941,4750.240234,4783.939941,4783.939941,1592520000
2016-09-02,4806.140137,4816.700195,4781.609863,4798.740234,4798.740234,1474200000
2016-09-06,4806.660156,4829.509766,4797.339844,4829.509766,4829.509766,1777940000
2016-09-07,4829.910156,4839.589844,4813.990234,4831.859863,4831.859863,1878460000
2016-09-08,4816.479980,4816.479980,4791.220215,4804.000000,4804.000000,1839790000
2016-09-09,4763.040039,4773.770020,4681.540039,4681.540039,4681.540039,2208690000
2016-09-12,4656.589844,4772.450195,4656.509766,4764.649902,4764.649902,2007610000
2016-09-13,4740.000000,4756.200195,4701.790039,4722.850098,4722.850098,2071460000
2016-09-14,4726.750000,4770.390137,4726.750000,4746.060059,4746.060059,1902680000
2016-09-15,4749.709961,4826.020020,4748.669922,4819.899902,4819.899902,1950940000
2016-09-16,4811.790039,4821.850098,4794.200195,4818.049805,4818.049805,3013860000
2016-09-19,4833.839844,4843.759766,4787.439941,4796.069824,4796.069824,1791120000
2016-09-20,4813.779785,4824.209961,4797.779785,4805.220215,4805.220215,1695190000
2016-09-21,4826.580078,4858.569824,4797.899902,4853.750000,4853.750000,1999690000
2016-09-22,4879.279785,4895.500000,4876.370117,4891.359863,4891.359863,1882100000
2016-09-23,4881.450195,4882.419922,4853.410156,4858.910156,4858.910156,1761330000
2016-09-26,4830.169922,4837.339844,4812.319824,4817.169922,4817.169922,1669520000
2016-09-27,4813.890137,4868.379883,4811.279785,4866.709961,4866.709961,1751060000
2016-09-28,4871.839844,4877.299805,4850.040039,4875.270020,4875.270020,1785470000
2016-09-29,4868.459961,4875.520020,4819.020020,4838.299805,4838.299805,1941170000
2016-09-30,4856.100098,4889.229980,4846.899902,4875.700195,4875.700195,2059800000
2016-10-03,4864.629883,4872.140137,4848.209961,4866.629883,4866.629883,1604060000
2016-10-04,4880.569824,4891.500000,4841.720215,4859.470215,4859.470215,1708990000
2016-10-05,4872.979980,4891.350098,4870.810059,4877.750000,4877.750000,1753340000
2016-10-06,4871.950195,4883.970215,4851.529785,4873.919922,4873.919922,1654020000
2016-10-07,4883.939941,4884.700195,4840.930176,4864.520020,4864.520020,1646650000
2016-10-10,4887.729980,4904.720215,4885.589844,4893.770020,4893.770020,1364150000
2016-10-11,4890.169922,4890.169922,4804.240234,4821.910156,4821.910156,1821680000
2016-10-12,4824.270020,4836.549805,4806.330078,4819.640137,4819.640137,1565940000
2016-10-13,4785.589844,4816.330078,4760.069824,4803.100098,4803.100098,1735310000
2016-10-14,4828.899902,4845.990234,4806.729980,4808.479980,4808.479980,1594480000
2016-10-17,4808.470215,4814.879883,4790.450195,4796.169922,4796.169922,1424270000
2016-10-18,4849.910156,4860.680176,4837.310059,4839.720215,4839.720215,1474430000
2016-10-19,4833.810059,4845.069824,4830.680176,4836.609863,4836.609863,1546960000
2016-10-20,4831.310059,4842.319824,4805.839844,4832.709961,4832.709961,1741820000
2016-10-21,4836.540039,4853.609863,4822.779785,4851.859863,4851.859863,1649470000
2016-10-24,4884.160156,4911.589844,4880.770020,4909.970215,4909.970215,1531970000
2016-10-25,4908.180176,4911.759766,4885.899902,4891.450195,4891.450195,1579490000
2016-10-26,4863.520020,4886.319824,4846.439941,4860.589844,4860.589844,1725900000
2016-10-27,4883.069824,4885.830078,4831.689941,4836.450195,4836.450195,1918690000
2016-10-28,4820.500000,4848.549805,4794.069824,4805.589844,4805.589844,1895970000
2016-10-31,4821.310059,4823.919922,4801.160156,4801.270020,4801.270020,1707260000
2016-11-01,4810.299805,4811.020020,4726.350098,4766.939941,4766.939941,1878650000
2016-11-02,4764.830078,4773.649902,4717.560059,4726.910156,4726.910156,2105870000
2016-11-03,4718.529785,4732.200195,4673.049805,4679.100098,4679.100098,2107720000
2016-11-04,4647.589844,4697.939941,4647.589844,4660.459961,4660.459961,2015130000
2016-11-07,4737.979980,4777.060059,4731.790039,4773.729980,4773.729980,1914310000
2016-11-08,4766.479980,4824.970215,4757.250000,4804.919922,4804.919922,1736100000
2016-11-09,4748.910156,4832.950195,4747.350098,4825.180176,4825.180176,2824560000
2016-11-10,4849.709961,4855.790039,4685.740234,4747.029785,4747.029785,2984360000
2016-11-11,4729.140137,4759.830078,4711.959961,4751.950195,4751.950195,2285050000
2016-11-14,4752.609863,4753.270020,4677.410156,4702.040039,4702.040039,2369190000
2016-11-15,4733.569824,4778.649902,4727.979980,4764.470215,4764.470215,2156500000
2016-11-16,4745.029785,4794.569824,4742.950195,4792.270020,4792.270020,2057140000
2016-11-17,4789.790039,4826.750000,4781.720215,4826.589844,4826.589844,2081760000
2016-11-18,4832.810059,4840.810059,4804.439941,4808.040039,4808.040039,1858610000
2016-11-21,4822.029785,4862.229980,4819.569824,4859.000000,4859.000000,1745320000
2016-11-22,4876.919922,4884.629883,4861.080078,4873.839844,4873.839844,1886800000
2016-11-23,4856.720215,4859.669922,4832.589844,4853.859863,4853.859863,1616740000
2016-11-25,4861.470215,4870.899902,4853.040039,4870.020020,4870.020020,768070000
2016-11-28,4861.729980,4878.870117,4852.709961,4857.020020,4857.020020,1625620000
2016-11-29,4859.850098,4896.569824,4848.890137,4873.209961,4873.209961,1788790000
2016-11-30,4876.299805,4880.759766,4810.810059,4810.810059,4810.810059,2064430000
2016-12-01,4806.770020,4810.439941,4723.569824,4734.100098,4734.100098,2264960000
2016-12-02,4734.379883,4759.029785,4721.410156,4739.370117,4739.370117,1848930000
2016-12-05,4762.339844,4795.279785,4743.529785,4778.140137,4778.140137,1798160000
2016-12-06,4786.060059,4796.580078,4769.390137,4788.669922,4788.669922,1974850000
2016-12-07,4778.859863,4854.319824,4765.439941,4851.939941,4851.939941,2122590000
2016-12-08,4849.750000,4869.560059,4843.040039,4859.189941,4859.189941,2231070000
2016-12-09,4878.540039,4897.240234,4877.180176,4895.899902,4895.899902,2038700000
2016-12-12,4878.040039,4882.979980,4854.270020,4874.299805,4874.299805,1927560000
2016-12-13,4893.649902,4960.479980,4890.149902,4935.839844,4935.839844,2085710000
2016-12-14,4943.640137,4955.250000,4910.759766,4921.220215,4921.220215,1974150000
2016-12-15,4925.649902,4959.899902,4919.810059,4933.410156,4933.410156,2095910000
2016-12-16,4945.040039,4952.140137,4904.379883,4914.859863,4914.859863,3257750000
2016-12-19,4919.160156,4963.000000,4911.750000,4934.850098,4934.850098,1685800000
2016-12-20,4948.339844,4961.549805,4944.319824,4953.799805,4953.799805,1678040000
2016-12-21,4952.069824,4957.450195,4938.240234,4948.910156,4948.910156,1493900000
2016-12-22,4948.359863,4948.359863,4917.330078,4934.390137,4934.390137,1582600000
2016-12-23,4927.529785,4940.040039,4922.950195,4940.020020,4940.020020,1144280000
2016-12-27,4948.919922,4992.080078,4947.589844,4965.810059,4965.810059,1216870000
2016-12-28,4976.419922,4978.430176,4922.089844,4926.290039,4926.290039,1322130000
2016-12-29,4923.930176,4933.709961,4903.279785,4918.279785,4918.279785,1264480000
2016-12-30,4925.359863,4927.160156,4853.930176,4863.620117,4863.620117,1550820000
2017-01-03,4900.850098,4928.490234,4884.520020,4911.330078,4911.330078,1886200000
2017-01-04,4920.790039,4944.740234,4919.799805,4937.209961,4937.209961,1883360000
2017-01-05,4936.350098,4967.899902,4935.339844,4964.950195,4964.950195,1792610000
2017-01-06,4973.870117,5020.700195,4957.819824,5007.080078,5007.080078,1710770000
2017-01-09,5013.819824,5033.319824,5009.450195,5024.899902,5024.899902,1885500000
